datetime,D11Z,D21Z,V22Z,D31Z,V32Z,V33Z,D41Z,V42Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,D121Z,D122Z,V123Z,V124Z,V221Z,V222Z,Total
2024-03-02 05:00:00,6,3,7,4,8,5,10,8,5,0,14,0,1,7,1,2,0,4,0,10,7,0,6,0,0,0,108
2024-03-02 05:10:00,14,3,9,10,16,10,15,12,5,1,9,1,0,6,0,1,0,4,0,5,4,2,5,2,0,0,134
2024-03-02 05:20:00,1162,3,7,4,6,5,5,3,8,1,9,1,0,11,0,1,0,5,0,10,6,3,7,4,0,0,1261
2024-03-02 05:30:00,11,2,9,8,15,9,8,7,11,3,9,4,3,9,3,3,0,2,0,3,6,0,6,0,0,0,131
2024-03-02 05:40:00,6,0,6,9,10,8,13,9,6,0,14,0,0,4,0,1,0,2,0,5,6,0,10,0,0,0,109
2024-03-02 05:50:00,8,2,7,6,9,8,16,12,4,3,10,4,1,4,1,1,4,4,1,8,5,1,11,2,0,0,132
2024-03-02 06:00:00,872,5,8,10,11,6,10,9,9,3,18,3,1,7,1,0,0,6,0,8,3,2,2,2,0,0,996
2024-03-02 06:10:00,13,4,11,10,17,13,16,11,6,1,18,1,1,7,1,2,1,7,0,13,4,4,4,5,0,0,170
2024-03-02 06:20:00,9,2,8,13,13,7,10,10,6,1,15,2,3,8,3,0,0,8,0,11,6,3,8,3,0,0,149
2024-03-02 06:30:00,1166,4,13,8,13,8,17,9,10,1,13,1,2,5,2,0,1,5,1,8,5,3,5,3,0,0,1303
2024-03-02 06:40:00,413,15,18,16,14,6,12,9,10,2,10,1,4,9,5,1,2,12,0,20,5,1,6,2,0,0,593
2024-03-02 06:50:00,4,4,7,12,17,13,16,12,7,2,8,3,2,10,4,2,2,10,1,14,7,2,9,2,0,0,170
2024-03-02 07:00:00,749,4,4,12,11,9,11,9,5,1,5,1,3,7,4,0,2,4,2,6,6,1,6,1,0,0,863
2024-03-02 07:10:00,282,8,11,17,13,11,16,15,10,2,12,3,4,2,3,0,3,5,2,10,7,1,7,1,0,0,445
2024-03-02 07:20:00,15,12,11,15,9,8,19,17,12,5,13,3,2,1,3,0,2,11,2,11,3,0,3,0,0,0,177
2024-03-02 07:30:00,20,19,15,15,6,8,17,12,17,1,13,1,3,15,4,3,1,5,1,5,4,1,4,1,0,0,191
2024-03-02 07:40:00,38,15,14,17,13,13,24,10,18,6,11,5,6,13,7,2,1,8,1,7,3,1,3,0,0,0,236
2024-03-02 07:50:00,21,20,10,16,8,7,16,13,12,4,9,4,5,5,4,3,3,14,1,12,7,3,7,3,0,0,207
2024-03-02 08:00:00,10,9,5,17,12,10,29,13,15,4,14,4,6,10,5,4,0,14,0,12,7,0,8,0,0,0,208
2024-03-02 08:10:00,186,16,33,20,13,10,21,18,19,5,15,5,0,8,0,1,4,13,0,12,13,6,8,6,0,0,432
2024-03-02 08:20:00,871,21,19,27,17,15,36,23,19,8,15,9,7,6,4,4,6,20,2,18,7,6,7,5,0,0,1172
2024-03-02 08:30:00,26,24,14,18,11,11,33,19,20,4,16,5,5,5,6,2,1,14,1,8,8,3,11,3,0,0,268
2024-03-02 08:40:00,143,28,22,27,16,16,43,15,21,12,13,12,5,12,7,5,6,26,4,21,8,4,6,4,0,0,476
2024-03-02 08:50:00,1285,33,25,24,13,14,37,15,27,19,13,10,12,21,11,5,1,30,0,17,14,4,11,4,0,0,1645
2024-03-02 09:00:00,36,28,16,29,22,20,33,23,26,10,14,8,4,10,6,3,3,25,0,17,14,4,11,4,0,0,366
2024-03-02 09:10:00,468,40,23,31,11,12,50,17,22,13,17,10,7,20,9,4,5,24,3,20,18,9,8,5,0,0,846
2024-03-02 09:20:00,936,27,18,41,20,18,46,14,32,21,12,15,7,15,7,6,4,35,3,17,11,3,11,4,0,0,1323
