datetime,D1Z,D2Z,D3Z,D4Z,D5Z,D6Z,V21Z,V22Z,V51Z,V52Z,V81Z,V82Z,V211Z,V212Z,V811Z,V812Z,V1111Z,V1112Z,Total
2024-03-02 18:20:00,21,21,27,28,1,19,16,19,34,52,22,18,20,30,14,12,1,0,355
2024-03-02 18:30:00,11,18,18,26,0,23,22,30,28,30,24,21,15,22,13,21,0,0,322
2024-03-02 18:40:00,19,22,31,27,2,20,14,18,34,30,35,18,22,26,12,21,0,0,351
2024-03-02 18:50:00,18,24,28,26,1,17,22,15,30,50,33,25,21,24,13,31,1,0,379
2024-03-02 19:00:00,20,14,28,22,1,21,10,14,18,31,32,17,12,27,17,30,1,0,315
2024-03-02 19:10:00,14,26,23,28,0,20,17,18,25,40,29,22,25,27,20,10,3,0,347
2024-03-02 19:20:00,20,22,32,30,2,18,14,24,29,33,36,17,17,23,12,13,0,0,342
2024-03-02 19:30:00,13,18,20,21,1,22,14,16,22,36,31,16,12,23,12,25,1,0,303
2024-03-02 19:40:00,25,25,39,28,0,15,15,25,23,27,38,18,18,17,20,18,2,0,353
2024-03-02 19:50:00,15,15,20,15,0,16,16,17,20,23,28,12,14,21,18,13,0,0,263
2024-03-02 20:00:00,12,17,19,18,0,16,11,21,15,25,26,14,10,22,9,17,1,0,253
2024-03-02 20:10:00,15,16,16,18,3,20,15,17,20,23,30,14,15,16,9,23,0,0,270
2024-03-02 20:20:00,22,15,31,23,0,26,17,19,18,24,32,17,15,19,16,25,1,0,320
2024-03-02 20:30:00,11,18,18,17,1,14,14,13,22,24,26,13,12,20,11,20,0,0,254
