datetime,D21Z,D23Z,D81Z,D111Z,D112Z,V24Z,V25Z,V51Z,V52Z,V83Z,V84Z,V113Z,V114Z,Total
2024-03-02 19:10:00,65,0,50,16,9,49,15,22,8,32,4,22,5,297
2024-03-02 19:20:00,70,1,44,19,11,47,8,15,9,33,5,18,3,283
2024-03-02 19:30:00,63,0,58,11,10,35,5,16,7,31,3,16,6,261
2024-03-02 19:40:00,54,0,53,16,17,36,13,21,5,30,5,20,6,276
2024-03-02 19:50:00,77,0,29,12,10,41,15,20,4,25,6,25,12,276
2024-03-02 20:00:00,54,1,40,18,11,37,8,14,3,32,3,14,10,245
2024-03-02 20:10:00,61,1,30,13,19,41,13,24,6,36,5,19,15,283
2024-03-02 20:20:00,62,0,32,14,5,38,9,12,9,26,2,16,1,226
2024-03-02 20:30:00,51,0,32,10,12,25,8,15,6,27,4,12,6,208
2024-03-02 20:40:00,42,0,30,12,10,34,5,12,3,29,3,13,10,203
2024-03-02 20:50:00,51,0,32,10,5,33,5,8,4,20,2,15,2,187
2024-03-02 21:00:00,45,0,31,15,5,34,8,8,4,36,5,23,1,215
2024-03-02 21:10:00,29,0,26,7,6,35,5,12,2,22,3,9,3,159
2024-03-02 21:20:00,43,1,35,12,7,40,12,11,3,30,2,10,5,211
2024-03-02 21:30:00,35,0,26,5,10,36,6,9,1,18,3,10,3,162
2024-03-02 21:40:00,46,0,25,10,6,42,6,11,6,22,4,13,3,194
2024-03-02 21:50:00,41,1,11,9,3,51,3,17,11,15,2,9,3,176
2024-03-02 22:00:00,39,0,21,6,4,33,7,13,3,19,0,12,0,157
2024-03-02 22:10:00,37,0,14,9,6,47,2,7,2,13,4,13,6,160
2024-03-02 22:20:00,58,0,20,14,9,51,3,8,0,17,1,12,5,198
2024-03-02 22:30:00,42,0,25,8,10,27,6,13,1,26,7,15,4,184
2024-03-02 22:40:00,27,0,16,4,2,27,7,0,2,21,0,8,2,116
2024-03-02 22:50:00,22,0,15,12,2,22,1,9,2,18,1,14,0,118
2024-03-02 23:00:00,31,0,21,9,8,35,4,8,9,22,2,7,5,161
2024-03-02 23:10:00,32,1,15,4,5,41,9,8,7,23,2,8,0,155
2024-03-02 23:20:00,25,0,24,8,2,12,1,10,0,29,0,13,2,126
2024-03-02 23:30:00,31,0,11,1,4,31,7,6,1,13,0,4,2,111
2024-03-02 23:40:00,28,0,13,3,1,26,0,5,0,15,0,4,0,95
2024-03-02 23:50:00,28,0,15,4,5,25,10,5,0,18,2,8,5,125
2024-03-03 00:00:00,24,0,12,7,5,20,1,8,5,13,0,12,0,107
2024-03-03 00:10:00,12,0,13,7,1,9,3,2,3,20,0,12,1,83
2024-03-03 00:20:00,19,0,14,3,3,25,3,8,4,18,2,4,1,104
2024-03-03 00:30:00,16,0,15,4,4,27,3,9,9,20,0,7,1,115
2024-03-03 00:40:00,19,0,9,6,4,22,4,13,2,13,1,13,1,107
2024-03-03 00:50:00,15,0,13,5,4,17,0,9,8,17,1,10,2,101
2024-03-03 01:00:00,24,0,7,7,7,33,6,10,5,10,0,19,0,128
2024-03-03 01:10:00,7,0,6,2,4,11,1,2,0,9,0,2,2,46
2024-03-03 01:20:00,12,0,4,5,5,20,5,3,0,7,2,12,4,79
2024-03-03 01:30:00,9,0,8,6,1,12,4,7,5,9,0,8,0,69
2024-03-03 01:40:00,7,0,7,4,1,9,2,5,3,12,0,6,1,57
2024-03-03 01:50:00,13,0,9,2,5,17,3,8,2,12,1,3,3,78
2024-03-03 02:00:00,7,0,3,1,5,7,0,2,1,4,3,5,4,42
2024-03-03 02:10:00,7,0,4,6,2,8,0,3,0,5,0,7,1,43
2024-03-03 02:20:00,5,0,9,2,3,8,1,2,7,13,1,4,2,57
2024-03-03 02:30:00,15,0,2,3,0,19,0,0,0,2,0,3,0,44
2024-03-03 02:40:00,8,0,2,6,3,19,0,2,2,3,0,5,0,50
2024-03-03 02:50:00,8,0,6,3,5,14,1,4,1,5,0,7,4,58
2024-03-03 03:00:00,3,0,2,0,0,5,1,1,0,3,0,0,0,15
2024-03-03 03:10:00,13,0,3,0,3,19,0,3,2,4,2,0,0,49
2024-03-03 03:20:00,8,0,2,1,0,13,0,0,0,3,0,1,0,28
2024-03-03 03:30:00,7,0,6,1,1,4,0,2,1,8,0,1,0,31
2024-03-03 03:40:00,8,0,1,1,0,15,2,5,0,2,2,1,0,37
2024-03-03 03:50:00,6,0,6,1,2,11,2,2,1,7,0,2,2,42
2024-03-03 04:00:00,4,0,1,0,0,4,0,1,0,3,0,0,0,13
2024-03-03 04:10:00,5,0,6,2,4,10,0,3,2,8,0,3,5,48
2024-03-03 04:20:00,6,0,4,0,1,9,0,1,0,4,0,0,0,25
2024-03-03 04:30:00,2,0,11,0,1,4,2,2,0,17,1,0,0,40
2024-03-03 04:40:00,8,0,9,0,1,12,3,2,2,11,2,0,0,50
2024-03-03 04:50:00,6,0,12,2,0,9,1,3,2,14,0,3,0,52
2024-03-03 05:00:00,6,0,9,0,1,12,0,5,0,12,0,1,1,47
2024-03-03 05:10:00,5,0,16,0,2,7,0,1,1,17,1,1,1,52
2024-03-03 05:20:00,8,0,9,1,1,15,2,4,2,14,2,1,0,59
2024-03-03 05:30:00,8,0,9,3,3,8,0,1,0,12,3,5,2,54
2024-03-03 05:40:00,5,0,5,1,4,10,2,1,2,9,1,1,0,41
2024-03-03 05:50:00,9,0,7,0,0,15,2,7,3,8,0,0,0,51
2024-03-03 06:00:00,10,0,10,1,3,18,1,5,3,14,0,2,1,68
2024-03-03 06:10:00,7,0,7,3,3,12,0,4,1,9,2,3,0,51
2024-03-03 06:20:00,9,0,5,2,2,16,0,2,0,6,0,2,1,45
2024-03-03 06:30:00,15,0,4,6,4,21,0,4,5,5,1,7,1,73
2024-03-03 06:40:00,7,0,6,0,2,11,3,7,3,9,1,0,0,49
2024-03-03 06:50:00,8,0,3,4,3,16,0,3,0,4,0,8,2,51
2024-03-03 07:00:00,8,0,6,3,6,7,1,4,3,7,0,4,2,51
2024-03-03 07:10:00,10,0,9,1,1,9,3,1,0,10,0,1,1,46
2024-03-03 07:20:00,10,0,6,4,3,10,2,2,1,6,0,4,3,51
2024-03-03 07:30:00,4,0,7,1,3,5,3,5,3,14,0,1,1,47
2024-03-03 07:40:00,7,0,11,2,3,7,2,4,4,10,1,3,1,55
2024-03-03 07:50:00,8,0,17,8,5,11,3,4,4,11,1,8,7,87
