datetime,D41Z,V42Z,D71Z,D81Z,D82Z,V83Z,V84Z,D811Z,D812Z,V813Z,V814Z,D111Z,D112Z,V113Z,V114Z,D115Z,D121Z,D122Z,V123Z,V124Z,D125Z,D126Z,V521Z,Total
2024-03-02 08:00:00,1,4,1,6,6,7,5,4,7,8,3,2,7,2,12,8,18,2,16,1,19,3,3,145
2024-03-02 08:10:00,4,8,0,3,6,6,4,5,6,9,5,4,5,4,10,11,22,3,14,3,22,3,2,159
2024-03-02 08:20:00,3,3,1,7,8,9,8,4,10,8,3,4,8,3,14,12,15,1,9,1,13,0,1,145
2024-03-02 08:30:00,5,6,3,1,5,4,5,4,4,6,4,6,12,2,20,13,24,10,15,7,29,5,2,192
2024-03-02 08:40:00,8,11,5,9,5,11,5,6,15,15,7,2,12,2,16,13,29,3,12,4,30,2,2,224
2024-03-02 08:50:00,7,8,5,4,4,18,12,4,10,10,5,7,20,5,11,24,34,9,14,8,42,6,1,268
2024-03-02 09:00:00,13,12,2,5,11,13,15,8,18,17,7,5,17,4,19,21,27,10,16,11,35,9,2,297
2024-03-02 09:10:00,7,7,4,5,7,13,12,7,11,12,7,8,15,6,18,21,23,14,13,15,32,12,5,274
2024-03-02 09:20:00,11,11,6,6,6,17,6,7,15,16,8,14,16,10,31,19,47,15,23,12,61,20,1,378
2024-03-02 09:30:00,9,11,12,13,8,27,12,9,18,15,9,9,10,7,19,17,42,11,17,10,52,12,1,350
2024-03-02 09:40:00,16,11,3,10,10,11,12,10,23,21,9,9,15,6,29,25,49,6,30,7,48,3,2,365
2024-03-02 09:50:00,44,14,8,10,19,24,11,17,39,26,13,9,10,8,19,19,46,22,14,16,64,8,5,465
2024-03-02 10:00:00,20,15,14,13,10,31,13,11,30,28,11,8,17,6,19,25,34,17,17,13,42,11,2,407
2024-03-02 10:10:00,18,19,10,12,19,21,14,15,32,27,16,9,20,7,17,30,38,13,22,16,48,8,2,433
2024-03-02 10:20:00,21,14,7,13,11,18,13,12,31,21,9,7,19,3,23,24,61,21,22,21,78,10,2,461
2024-03-02 10:30:00,15,12,7,13,15,19,14,16,25,30,15,7,21,3,21,26,44,24,16,12,68,16,5,444
2024-03-02 10:40:00,20,17,10,21,19,32,17,23,34,31,17,13,26,8,20,35,60,13,18,12,64,7,2,519
2024-03-02 10:50:00,18,12,10,14,14,29,15,15,29,27,14,7,27,5,22,32,57,19,10,18,73,10,2,479
