datetime,D11Z,D12Z,V13Z,V14Z,V15Z,D21Z,D22Z,V23Z,V24Z,D31Z,D32Z,V33Z,V34Z,V37Z,D41Z,D42Z,V43Z,V44Z,D35Z,D36Z,Total
2024-03-02 10:00:00,24,45,14,20,42,5,9,9,8,39,80,35,32,39,104,80,7,13,0.0,0.0,605.0
2024-03-02 10:10:00,15,36,17,27,34,9,14,6,12,22,79,13,40,22,93,76,15,14,0.0,0.0,544.0
2024-03-02 10:20:00,20,42,12,29,39,9,12,14,11,32,67,22,27,28,97,63,14,16,0.0,0.0,554.0
2024-03-02 10:30:00,25,41,21,25,41,8,15,7,13,30,71,16,33,29,95,65,14,16,0.0,0.0,565.0
2024-03-02 10:40:00,22,45,16,30,46,17,6,11,6,36,65,21,35,34,99,62,13,16,0.0,0.0,580.0
2024-03-02 10:50:00,22,42,18,24,38,11,13,17,11,21,69,16,33,21,91,68,15,14,0.0,0.0,544.0
2024-03-02 11:00:00,14,53,8,24,53,6,12,6,10,31,87,25,45,29,109,78,10,8,0.0,0.0,608.0
2024-03-02 11:10:00,10,46,9,28,46,9,12,18,11,23,78,17,32,18,103,71,11,14,0.0,0.0,556.0
2024-03-02 11:20:00,24,50,17,29,50,15,20,9,14,23,69,18,32,24,86,67,15,15,0.0,0.0,577.0
2024-03-02 11:30:00,19,53,11,32,50,11,16,9,12,35,76,25,36,32,111,68,9,11,0.0,0.0,616.0
2024-03-02 11:40:00,25,46,19,21,42,13,19,10,23,30,71,24,34,27,91,64,19,20,0.0,0.0,598.0
2024-03-02 11:50:00,25,50,21,33,48,6,15,5,13,22,72,18,27,19,83,67,13,16,0.0,0.0,553.0
2024-03-02 12:00:00,9,64,9,34,66,18,11,14,10,20,84,17,34,20,125,80,8,10,0.0,0.0,633.0
2024-03-02 12:10:00,39,73,22,35,74,7,11,5,8,37,105,28,44,33,135,100,17,17,0.0,0.0,790.0
2024-03-02 12:20:00,21,55,11,22,53,11,18,14,17,25,66,17,36,24,95,66,23,25,0.0,0.0,599.0
2024-03-02 12:30:00,25,55,14,22,50,15,21,9,15,34,91,26,36,33,148,84,15,15,0.0,0.0,708.0
2024-03-02 12:40:00,27,42,14,16,41,9,17,9,12,39,60,24,39,35,98,56,9,9,0.0,0.0,556.0
2024-03-02 12:50:00,22,58,19,35,57,14,21,13,10,19,64,16,39,20,84,59,20,20,0.0,0.0,590.0
2024-03-02 13:00:00,23,58,18,23,53,12,15,9,12,10,50,11,29,10,66,49,8,6,0.0,0.0,462.0
2024-03-02 13:10:00,41,80,25,38,78,7,26,8,15,9,54,9,37,8,83,53,9,15,0.0,0.0,595.0
