datetime,D11Z,D12Z,D13Z,D14Z,V15Z,V16Z,V17Z,D21Z,D22Z,D23Z,D24Z,V26Z,V27Z,V28Z,V29Z,D31Z,D32Z,D33Z,D34Z,V36Z,V37Z,V38Z,V39Z,V40Z,V41Z,V42Z,D43Z,V45Z,V46Z,V47Z,V48Z,Total
2024-03-01 21:00:00,3,18,8,3,17,7,2,4,16,7,5,3,17,13,9,8,13,10,12,9,16,14,13,0,16,10,10,3,21,14,10,311
2024-03-01 21:10:00,10,20,8,5,19,7,4,5,14,3,8,6,15,11,6,10,15,9,18,10,15,10,26,0,14,6,11,9,19,9,10,332
2024-03-01 21:20:00,2,20,8,8,20,8,12,3,31,12,9,3,25,21,11,2,15,7,12,2,16,10,17,0,22,14,9,10,24,19,13,385
2024-03-01 21:30:00,4,16,12,5,26,11,3,8,18,151,9,9,16,23,6,8,13,9,12,10,14,10,21,0,17,8,7,3,21,3,7,480
2024-03-01 21:40:00,2,14,12,8,11,7,8,3,13,7,8,4,13,15,14,14,15,8,11,13,15,12,15,0,22,7,2,11,22,11,1,318
2024-03-01 21:50:00,1,14,8,0,11,9,0,3,16,8,7,2,12,14,6,11,8,7,12,9,7,11,16,0,22,10,12,5,23,12,14,290
2024-03-01 22:00:00,4,13,6,3,15,6,4,7,15,12,5,6,19,19,7,6,11,5,12,7,12,6,13,0,26,6,7,7,29,7,9,304
2024-03-01 22:10:00,6,17,14,8,19,11,6,4,11,9,8,8,15,13,12,4,7,6,13,4,5,5,11,0,18,10,6,9,23,16,7,305
2024-03-01 22:20:00,1,26,10,1,25,7,2,3,16,11,10,4,15,16,13,9,14,8,12,9,16,9,15,0,20,9,6,5,18,18,9,337
2024-03-01 22:30:00,0,19,6,2,15,10,2,3,14,7,11,6,18,18,12,3,14,5,12,4,17,8,17,0,15,9,9,11,19,12,8,306
2024-03-01 22:40:00,3,15,10,5,29,9,5,1,29,11,13,1,12,19,15,8,13,5,19,9,13,8,25,0,17,7,3,3,19,6,2,334
2024-03-01 22:50:00,1,15,10,1,16,9,2,3,11,4,9,4,9,12,11,8,7,8,10,8,12,11,13,0,20,11,6,5,23,13,8,280
2024-03-01 23:00:00,3,18,5,3,22,7,3,5,10,12,6,4,13,10,6,4,10,11,12,6,14,15,17,0,15,6,5,3,24,12,5,286
