datetime,V21Z,V22Z,D51Z,D81Z,D82Z,D91Z,D41Z,V83Z,V84Z,V92Z,V43Z,V44Z,Total
2024-03-03 06:00:00,0,0,1,4,1,0,0,7,1,3,1,1,19
2024-03-03 06:10:00,0,0,1,2,7,0,0,10,11,7,1,3,42
2024-03-03 06:20:00,0,0,0,6,6,2,0,15,13,8,0,0,50
2024-03-03 06:30:00,0,0,1,5,6,0,0,9,11,8,0,0,40
2024-03-03 06:40:00,0,0,0,8,6,0,0,13,11,5,2,1,46
2024-03-03 06:50:00,0,0,0,8,8,0,0,12,14,7,2,2,53
2024-03-03 07:00:00,0,0,0,4,6,3,0,3,7,3,0,1,27
2024-03-03 07:10:00,0,0,0,7,3,0,0,5,3,0,0,2,20
2024-03-03 07:20:00,0,0,0,2,5,0,0,2,4,0,0,0,13
2024-03-03 07:30:00,0,0,0,4,7,0,0,3,7,0,1,0,22
2024-03-03 07:40:00,0,0,0,8,6,0,0,7,6,0,1,0,28
2024-03-03 07:50:00,0,0,1,11,7,0,0,9,8,0,0,1,37
2024-03-03 08:00:00,0,0,0,2,6,5,0,4,6,3,0,1,27
2024-03-03 08:10:00,0,0,1,5,9,0,0,4,12,0,2,1,34
2024-03-03 08:20:00,0,0,0,4,4,0,0,4,5,0,0,1,18
2024-03-03 08:30:00,0,0,1,9,8,0,0,11,7,0,3,3,42
2024-03-03 08:40:00,0,0,2,14,11,0,0,10,11,0,0,1,49
2024-03-03 08:50:00,0,0,3,13,12,2,0,11,12,1,1,2,57
2024-03-03 09:00:00,0,0,1,12,14,0,0,13,11,0,1,8,60
2024-03-03 09:10:00,0,0,2,22,17,3,0,17,18,1,3,2,85
2024-03-03 09:20:00,0,0,3,21,14,1,0,20,11,3,3,4,80
2024-03-03 09:30:00,0,0,4,19,21,5,0,14,14,2,0,2,81
2024-03-03 09:40:00,0,0,5,21,21,2,0,11,14,2,3,1,80
2024-03-03 09:50:00,0,0,0,27,24,1,0,14,19,1,5,12,103
2024-03-03 10:00:00,0,0,5,22,32,2,0,12,17,0,4,6,100
2024-03-03 10:10:00,0,0,6,26,21,14,0,18,14,12,10,8,129
2024-03-03 10:20:00,0,0,5,31,25,9,0,22,17,3,8,6,126
2024-03-03 10:30:00,0,0,4,27,28,4,0,16,23,2,10,6,120
2024-03-03 10:40:00,0,0,3,27,17,5,0,17,12,3,4,4,92
2024-03-03 10:50:00,0,0,6,30,27,7,0,20,17,8,3,9,127
