datetime,V11Z,V12Z,D21Z,D22Z,V23Z,V24Z,V33Z,V31Z,V32Z,V41Z,D51Z,V52Z,V101Z,D111Z,V112Z,V122Z,Total
2024-03-02 23:00:00,17,31,18,11,22,9,0,10,3,24,15,26,13,20,20,30,269
2024-03-02 23:10:00,20,40,22,11,20,6,0,17,3,13,10,20,15,23,24,23,267
2024-03-02 23:20:00,12,23,10,5,14,3,0,6,2,20,19,25,13,18,15,13,198
2024-03-02 23:30:00,12,22,12,5,14,5,0,7,6,14,15,20,17,23,22,13,207
2024-03-02 23:40:00,10,16,9,12,8,4,0,11,3,15,13,19,59,24,15,16,234
2024-03-02 23:50:00,15,25,14,10,16,12,0,20,4,16,19,23,18,22,22,18,254
2024-03-03 00:00:00,11,14,12,8,17,4,0,6,0,16,22,23,13,16,10,9,181
2024-03-03 00:10:00,26,36,20,10,19,4,0,7,3,21,21,32,17,23,20,28,287
2024-03-03 00:20:00,6,7,7,6,7,5,0,13,1,20,21,24,12,18,17,11,175
2024-03-03 00:30:00,15,24,13,4,13,2,0,7,2,11,14,18,11,12,12,5,163
