datetime,D21Z,D22Z,D41Z,D42Z,D11Z,D12Z,D31Z,D32Z,Total
2024-03-03 23:50:00,7,5,5,2,0,0,0,0,19
2024-03-04 00:00:00,2,1,3,2,0,0,0,0,8
2024-03-04 00:10:00,6,6,1,0,0,0,0,0,13
2024-03-04 00:20:00,5,6,2,1,0,0,1,0,15
2024-03-04 00:30:00,3,3,2,2,0,0,0,0,10
2024-03-04 00:40:00,2,2,3,0,0,0,0,0,7
2024-03-04 00:50:00,1,1,3,1,0,0,0,0,6
2024-03-04 01:00:00,3,3,4,3,0,0,0,0,13
2024-03-04 01:10:00,2,2,3,2,0,0,0,0,9
2024-03-04 01:20:00,2,2,4,0,0,0,0,0,8
2024-03-04 01:30:00,2,2,2,1,0,0,0,0,7
2024-03-04 01:40:00,1,1,1,0,0,0,0,0,3
2024-03-04 01:50:00,2,2,1,0,0,0,0,0,5
2024-03-04 02:00:00,1,1,2,2,0,0,0,0,6
2024-03-04 02:10:00,2,2,0,0,0,0,0,0,4
2024-03-04 02:20:00,2,2,5,0,0,0,0,0,9
2024-03-04 02:30:00,4,5,2,1,0,0,0,0,12
