datetime,D21Z,D22Z,V23Z,V24Z,D51Z,V52Z,D81Z,D82Z,V83Z,V84Z,D111Z,V112Z,D95Z,D911Z,Total
2024-03-02 21:00:00,46,5,34,3,0,0,29,1,22,0,19,17,55,2,233
2024-03-02 21:10:00,39,3,29,2,0,1,31,0,22,0,15,10,48,2,202
2024-03-02 21:20:00,48,4,35,4,2,4,29,0,16,0,12,10,40,4,208
2024-03-02 21:30:00,24,2,25,3,3,5,25,1,17,1,12,10,61,3,192
2024-03-02 21:40:00,34,1,24,0,0,0,19,0,12,0,4,4,38,0,136
2024-03-02 21:50:00,32,3,27,5,3,2,28,0,18,0,7,7,41,4,177
2024-03-02 22:00:00,35,2,22,1,2,2,20,2,17,0,12,11,48,2,176
2024-03-02 22:10:00,34,4,21,2,1,2,23,2,16,1,4,4,33,1,148
2024-03-02 22:20:00,29,4,24,1,2,1,21,0,15,0,2,1,83,2,185
2024-03-02 22:30:00,22,4,11,2,2,3,18,5,13,1,3,3,105,6,198
2024-03-02 22:40:00,33,5,19,2,3,2,16,0,8,0,7,7,80,4,186
2024-03-02 22:50:00,27,2,20,2,2,2,26,1,17,0,5,5,160,2,271
2024-03-02 23:00:00,35,0,20,0,1,2,30,1,17,1,12,10,207,1,337
2024-03-02 23:10:00,28,2,20,1,3,4,11,1,10,0,10,12,130,3,235
2024-03-02 23:20:00,23,3,23,2,1,1,12,2,11,2,7,6,135,1,229
2024-03-02 23:30:00,31,1,21,0,2,2,13,0,11,0,6,9,136,1,233
2024-03-02 23:40:00,24,2,21,1,1,1,15,2,12,0,5,4,57,2,147
2024-03-02 23:50:00,23,6,17,3,3,3,13,2,11,0,3,3,33,3,123
2024-03-03 00:00:00,23,0,15,0,1,1,8,0,5,0,4,4,136,1,198
2024-03-03 00:10:00,28,1,18,5,0,0,15,1,10,1,5,6,135,0,225
2024-03-03 00:20:00,16,2,11,2,0,0,4,3,4,0,8,6,99,0,155
2024-03-03 00:30:00,18,3,16,3,2,1,6,1,7,1,1,4,106,3,172
2024-03-03 00:40:00,18,1,19,1,5,2,9,3,7,1,8,6,63,2,145
2024-03-03 00:50:00,21,3,16,3,2,3,11,0,12,0,4,4,17,4,100
2024-03-03 01:00:00,13,0,14,0,1,1,10,0,8,0,7,8,35,1,98
2024-03-03 01:10:00,16,1,14,0,0,0,9,0,9,0,3,2,31,0,85
2024-03-03 01:20:00,17,0,18,0,2,4,5,0,8,0,8,7,19,2,90
2024-03-03 01:30:00,18,0,15,1,1,1,4,0,6,0,9,9,22,1,87
2024-03-03 01:40:00,13,3,12,3,2,1,9,1,6,0,4,5,29,2,90
2024-03-03 01:50:00,8,2,8,0,1,1,6,0,8,0,5,4,17,1,61
2024-03-03 02:00:00,5,0,5,0,1,2,3,0,2,0,3,4,31,1,57
2024-03-03 02:10:00,12,0,12,0,1,1,4,0,5,0,2,2,21,1,61
2024-03-03 02:20:00,10,0,11,0,0,0,1,1,1,0,3,3,18,0,48
2024-03-03 02:30:00,9,2,10,1,0,0,12,2,11,0,2,1,22,0,72
2024-03-03 02:40:00,6,0,6,0,0,0,6,0,7,0,3,1,27,0,56
2024-03-03 02:50:00,16,0,13,1,0,0,1,0,1,0,0,0,23,0,55
2024-03-03 03:00:00,7,0,7,0,0,0,5,0,5,0,0,0,18,0,42
2024-03-03 03:10:00,4,1,4,0,0,0,4,0,4,0,3,2,18,0,40
2024-03-03 03:20:00,14,1,10,0,0,0,4,0,4,0,1,0,15,0,49
2024-03-03 03:30:00,4,1,4,0,0,0,4,1,4,1,1,2,14,0,36
2024-03-03 03:40:00,5,3,5,1,2,2,2,0,3,0,0,0,16,3,42
2024-03-03 03:50:00,6,0,4,0,0,0,1,0,1,0,0,0,12,0,24
2024-03-03 04:00:00,9,4,9,2,6,5,1,1,1,0,2,2,8,5,55
2024-03-03 04:10:00,6,1,6,0,1,1,0,0,0,0,0,0,11,0,26
2024-03-03 04:20:00,4,0,3,0,0,0,6,0,5,0,0,0,28,0,46
2024-03-03 04:30:00,5,0,3,0,0,0,3,0,4,0,0,0,77,0,92
2024-03-03 04:40:00,2,3,3,1,2,1,5,0,5,0,2,2,72,2,100
2024-03-03 04:50:00,6,2,7,0,1,1,3,0,4,0,1,1,94,1,121
2024-03-03 05:00:00,3,0,5,0,0,0,11,0,10,0,1,1,7,0,38
2024-03-03 05:10:00,2,0,2,0,0,0,4,0,6,0,0,0,22,0,36
