datetime,D51Z,D52Z,V51Z,D111Z,V111Z,D112Z,Total
2024-03-04 01:40:00,3,3,7,4,5,3,25
2024-03-04 01:50:00,4,4,4,2,3,2,19
2024-03-04 02:00:00,3,1,2,5,6,5,22
2024-03-04 02:10:00,5,4,4,4,3,3,23
2024-03-04 02:20:00,5,5,4,2,2,2,20
2024-03-04 02:30:00,3,3,3,1,1,1,12
2024-03-04 02:40:00,3,3,4,0,0,0,10
2024-03-04 02:50:00,3,2,2,3,2,2,14
2024-03-04 03:00:00,3,3,3,2,2,2,15
2024-03-04 03:10:00,4,4,5,2,1,1,17
2024-03-04 03:20:00,2,2,2,1,2,2,11
2024-03-04 03:30:00,6,5,6,4,4,4,29
2024-03-04 03:40:00,1,1,1,6,8,6,23
2024-03-04 03:50:00,2,1,1,2,2,2,10
2024-03-04 04:00:00,3,3,2,7,3,6,24
2024-03-04 04:10:00,3,3,3,3,5,4,21
2024-03-04 04:20:00,5,5,4,2,2,2,20
2024-03-04 04:30:00,3,2,2,5,5,4,21
2024-03-04 04:40:00,4,3,3,6,4,5,25
2024-03-04 04:50:00,3,3,4,6,8,6,30
2024-03-04 05:00:00,7,7,9,11,11,11,56
2024-03-04 05:10:00,9,8,6,9,7,8,47
2024-03-04 05:20:00,11,10,9,29,22,26,107
2024-03-04 05:30:00,9,7,8,21,20,21,86
2024-03-04 05:40:00,23,20,20,41,33,41,178
2024-03-04 05:50:00,12,11,10,42,43,42,160
2024-03-04 06:00:00,20,18,20,45,27,45,175
2024-03-04 06:10:00,28,25,22,62,39,62,238
2024-03-04 06:20:00,19,17,20,68,35,65,224
2024-03-04 06:30:00,32,31,27,66,40,68,264
2024-03-04 06:40:00,23,21,23,81,47,75,270
2024-03-04 06:50:00,39,36,30,76,39,73,293
2024-03-04 07:00:00,25,24,19,85,36,78,267
2024-03-04 07:10:00,32,28,18,76,35,76,265
2024-03-04 07:20:00,48,48,29,65,34,64,288
2024-03-04 07:30:00,44,45,34,98,38,95,354
2024-03-04 07:40:00,53,52,26,97,41,94,363
2024-03-04 07:50:00,49,46,29,73,39,69,305
2024-03-04 08:00:00,43,49,28,66,29,67,282
2024-03-04 08:10:00,54,52,30,61,32,60,289
2024-03-04 08:20:00,60,60,36,56,36,60,308
2024-03-04 08:30:00,40,39,27,65,43,65,279
2024-03-04 08:40:00,38,46,27,62,43,62,278
2024-03-04 08:50:00,52,46,33,58,39,59,287
2024-03-04 09:00:00,44,45,31,59,38,58,275
2024-03-04 09:10:00,50,55,31,55,33,55,279
2024-03-04 09:20:00,39,47,33,61,41,59,280
2024-03-04 09:30:00,50,49,27,46,26,41,239
2024-03-04 09:40:00,53,54,39,51,41,52,290
2024-03-04 09:50:00,38,39,25,51,35,51,239
2024-03-04 10:00:00,41,42,31,52,40,50,256
2024-03-04 10:10:00,39,39,28,43,29,41,219
2024-03-04 10:20:00,33,33,22,44,33,45,210
2024-03-04 10:30:00,48,48,31,33,32,34,226
2024-03-04 10:40:00,50,54,34,58,40,55,291
2024-03-04 10:50:00,53,49,27,57,33,54,273
2024-03-04 11:00:00,47,48,28,51,52,53,279
2024-03-04 11:10:00,45,49,28,54,37,56,269
2024-03-04 11:20:00,41,47,34,36,27,38,223
2024-03-04 11:30:00,51,56,26,48,29,51,261
2024-03-04 11:40:00,46,44,30,40,27,40,227
2024-03-04 11:50:00,36,35,25,51,35,47,229
2024-03-04 12:00:00,55,54,29,49,36,49,272
2024-03-04 12:10:00,53,52,39,41,34,45,264
2024-03-04 12:20:00,49,48,37,39,31,39,243
2024-03-04 12:30:00,43,52,30,55,36,53,269
2024-03-04 12:40:00,56,57,28,60,36,58,295
2024-03-04 12:50:00,56,57,35,47,29,47,271
2024-03-04 13:00:00,48,47,33,36,31,38,233
2024-03-04 13:10:00,44,61,25,60,35,51,276
2024-03-04 13:20:00,65,66,33,37,30,33,264
2024-03-04 13:30:00,46,46,28,54,33,53,260
2024-03-04 13:40:00,51,49,22,44,30,43,239
2024-03-04 13:50:00,50,60,34,45,37,49,275
